text,label
saya pemula banget dan bingung mau mulai belajar coding dari mana,beginner_lost
baru mau terjun ke dunia IT tapi tidak tahu harus mulai dari mana,beginner_lost
saya newbie dan belum pernah belajar programming sama sekali,beginner_lost
tidak tahu harus belajar apa dulu untuk jadi developer,beginner_lost
saya nol banget soal coding bingung langkah pertama apa,beginner_lost
belum pernah coding sebelumnya tidak punya arah sama sekali,beginner_lost
ingin masuk dunia tech tapi tidak tahu mulai dari mana,beginner_lost
tidak punya background IT sama sekali dan bingung mau mulai,beginner_lost
pemula yang tidak tahu harus belajar bahasa pemrograman apa dulu,beginner_lost
baru pertama kali dengar tentang coding dan tidak paham apa apa,beginner_lost
mau belajar cybersecurity tapi tidak tahu harus mulai dari mana sama sekali,beginner_lost
saya benar benar dari nol tidak punya pengalaman apapun di IT,beginner_lost
fresh graduate non IT ingin masuk dunia teknologi tidak tahu caranya,beginner_lost
tidak tahu harus ambil kursus apa atau belajar sendiri untuk jadi programmer,beginner_lost
bingung sekali mau jadi web developer tapi tidak tahu langkah awalnya,beginner_lost
saya mahasiswa bukan IT tapi pengen banget kerja di bidang tech,beginner_lost
tidak ada yang bisa mengajari saya coding sama sekali bingung mulai dari mana,beginner_lost
belum punya laptop khusus coding dan tidak tahu harus mulai belajar dari mana,beginner_lost
ingin belajar programming tapi tidak tahu bahasa apa yang cocok untuk pemula,beginner_lost
tidak mengerti sama sekali tentang IT tapi ingin berkarir di bidang teknologi,beginner_lost
bingung pilih antara web developer atau data scientist,direction_confused
tidak tahu mau fokus ke frontend atau backend atau fullstack,direction_confused
bingung harus pilih react atau vue atau angular untuk belajar,direction_confused
sudah sedikit bisa python tapi bingung mau ke data science atau web,direction_confused
terlalu banyak pilihan karir di IT jadi bingung mau ambil yang mana,direction_confused
tidak tahu mana yang lebih bagus untuk karir cybersecurity atau cloud,direction_confused
bingung pilih antara mobile developer android atau ios,direction_confused
sudah belajar dasar programming tapi bingung mau lanjut ke mana,direction_confused
tidak tahu harus ambil bootcamp atau belajar sendiri,direction_confused
bingung mau pilih tools mana yang harus dipelajari duluan,direction_confused
sudah pernah belajar html css tapi bingung langkah selanjutnya apa,direction_confused
tidak tahu apakah harus belajar javascript atau python dulu,direction_confused
bingung antara jadi UI UX designer atau frontend developer,direction_confused
sudah coba beberapa bahasa pemrograman tapi tidak tahu mana yang harus difokuskan,direction_confused
banyak roadmap berbeda di internet jadi bingung mana yang harus diikuti,direction_confused
tidak tahu apakah devops atau cloud engineer lebih bagus untuk karir,direction_confused
bingung pilih spesialisasi machine learning atau data engineering,direction_confused
sudah ikut beberapa kursus tapi arah karirnya masih tidak jelas,direction_confused
bingung mau fokus ke satu bidang atau belajar banyak hal sekaligus,direction_confused
tidak tahu mana yang lebih dibutuhkan industri saat ini antara beberapa pilihan karir,direction_confused
sudah bisa python dasar tapi masih kurang skill untuk jadi data analyst,skill_gap
sudah intermediate tapi skill saya masih kurang untuk apply kerja,skill_gap
sudah belajar web dev tapi belum bisa buat project yang kompleks,skill_gap
merasa skill saya tidak cukup untuk masuk perusahaan tech besar,skill_gap
sudah bisa basic javascript tapi belum bisa framework apapun,skill_gap
sudah belajar lama tapi masih belum bisa bikin aplikasi sendiri,skill_gap
perlu upgrade skill tapi tidak tahu bagian mana yang harus diperkuat,skill_gap
sudah kerja sebagai junior dev tapi skill masih kurang untuk naik level,skill_gap
sudah pernah ikut bootcamp tapi masih belum bisa coding dengan baik,skill_gap
bisa teori tapi tidak bisa praktik skill gap yang besar,skill_gap
sudah belajar machine learning tapi tidak bisa implement di project nyata,skill_gap
sudah tau konsep OOP tapi belum bisa terapkan di project real,skill_gap
kemampuan saya masih jauh dari standar industri padahal sudah belajar lama,skill_gap
bisa buat website statis tapi belum bisa tambahkan fitur dinamis,skill_gap
sudah paham sql dasar tapi belum bisa query yang kompleks,skill_gap
tahu teori neural network tapi tidak bisa implementasi dari scratch,skill_gap
portfolio saya masih lemah karena belum punya project yang layak ditampilkan,skill_gap
sudah bisa react tapi belum paham state management yang kompleks,skill_gap
menguasai frontend tapi sama sekali tidak bisa backend,skill_gap
sudah belajar setahun tapi masih belum percaya diri untuk melamar kerja,skill_gap
terlalu banyak yang harus dipelajari sampai tidak tahu harus mulai dari mana,overwhelmed
overwhelmed dengan banyaknya teknologi yang harus dikuasai,overwhelmed
kewalahan dengan roadmap yang panjang banget,overwhelmed
terlalu banyak resource belajar sampai bingung yang mana yang bagus,overwhelmed
merasa tidak sanggup menguasai semua teknologi yang dibutuhkan,overwhelmed
setiap hari ada teknologi baru yang harus dipelajari capek banget,overwhelmed
roadmap data science terlalu panjang dan menguras energi,overwhelmed
kebingungan karena terlalu banyak pilihan framework dan library,overwhelmed
merasa kewalahan dengan kurikulum bootcamp yang terlalu padat,overwhelmed
banyak banget yang harus dikuasai untuk jadi fullstack developer,overwhelmed
terlalu banyak hal yang perlu dipelajari sampai tidak fokus,overwhelmed
merasa tidak akan pernah cukup belajar karena teknologi terus berkembang,overwhelmed
sudah belajar banyak tapi masih merasa kurang dan tidak tahu kapan siap,overwhelmed
list materi yang harus dipelajari terasa tidak ada habisnya,overwhelmed
stress karena teman sudah lebih maju sedangkan saya masih tertinggal,overwhelmed
tidak bisa fokus karena terlalu banyak hal yang ingin dipelajari sekaligus,overwhelmed
burn out karena belajar terlalu keras tapi merasa tidak ada kemajuan,overwhelmed
setiap buka laptop langsung merasa pusing karena tidak tahu harus mulai dari mana,overwhelmed
merasa semua orang di komunitas lebih pintar dan saya tidak akan bisa menyusul,overwhelmed
sudah coba banyak kursus tapi rasanya semakin banyak yang tidak diketahui,overwhelmed
